Property Name,Default,Meaning
spark.worker.ui.retainedExecutors,1000,How many finished executors the Spark UI and status APIs remember before garbage collecting.
spark.worker.ui.retainedDrivers,1000,How many finished drivers the Spark UI and status APIs remember before garbage collecting.
spark.sql.autoBroadcastJoinThreshold,10485760,"Configures the maximum size in bytes for a table that will be broadcast to all worker nodes when performing a join. By setting this value to -1 broadcasting can be disabled. Note that currently statistics are only supported for Hive Metastore tables where the command ANALYZE TABLE <tableName> COMPUTE STATISTICS noscan has been run."
spark.sql.shuffle.partitions,200,Configures the number of partitions to use when shuffling data for joins or aggregations.
spark.sql.ui.retainedExecutions,1000,How many finished executions the Spark UI and status APIs remember before garbage collecting.
spark.streaming.ui.retainedBatches,1000,How many finished batches the Spark UI and status APIs remember before garbage collecting.
spark.ui.retainedDeadExecutors,100,How many dead executors the Spark UI and status APIs remember before garbage collecting.
spark.ui.filters,None,"Comma separated list of filter class names to apply to the Spark Web UI. The filter should be a standard javax servlet Filter. 
Filter parameters can also be specified in the configuration, by setting config entries of the form spark.<class name of filter>.param.<param name>=<value> 
For example: 
spark.ui.filters=com.test.filter1 
spark.com.test.filter1.param.name1=foo 
spark.com.test.filter1.param.name2=bar"
spark.broadcast.compress,true,Whether to compress broadcast variables before sending them. Generally a good idea. Compression will use spark.io.compression.codec.
spark.io.compression.codec,lz4,"The codec used to compress internal data such as RDD partitions, event log, broadcast variables and shuffle outputs. By default, Spark provides four codecs: lz4, lzf, snappy, and zstd. You can also use fully qualified class names to specify the codec, e.g. org.apache.spark.io.LZ4CompressionCodec, org.apache.spark.io.LZFCompressionCodec, org.apache.spark.io.SnappyCompressionCodec, and org.apache.spark.io.ZStdCompressionCodec."
spark.io.compression.lz4.blockSize,32k,"Block size in bytes used in LZ4 compression, in the case when LZ4 compression codec is used. Lowering this block size will also lower shuffle memory usage when LZ4 is used."
spark.io.compression.snappy.blockSize,32k,"Block size in bytes used in Snappy compression, in the case when Snappy compression codec is used. Lowering this block size will also lower shuffle memory usage when Snappy is used."
spark.io.compression.zstd.level,1,Compression level for Zstd compression codec. Increasing the compression level will result in better compression at the expense of more CPU and memory.
spark.io.compression.zstd.bufferSize,32k,"Buffer size in bytes used in Zstd compression, in the case when Zstd compression codec is used. Lowering this size will lower the shuffle memory usage when Zstd is used, but it might increase the compression cost because of excessive JNI call overhead."
spark.kryo.classesToRegister,(none),"If you use Kryo serialization, give a comma-separated list of custom class names to register with Kryo. See the tuning guide for more details."
spark.kryo.referenceTracking,true,"Whether to track references to the same object when serializing data with Kryo, which is necessary if your object graphs have loops and useful for efficiency if they contain multiple copies of the same object. Can be disabled to improve performance if you know this is not the case."
spark.kryo.registrationRequired,false,"Whether to require registration with Kryo. If set to 'true', Kryo will throw an exception if an unregistered class is serialized. If set to false (the default), Kryo will write unregistered class names along with each object. Writing class names can cause significant performance overhead, so enabling this option can enforce strictly that a user has not omitted classes from registration."
spark.kryo.registrator,(none),"If you use Kryo serialization, give a comma-separated list of classes that register your custom classes with Kryo. This property is useful if you need to register your classes in a custom way, e.g. to specify a custom field serializer. Otherwise spark.kryo.classesToRegister is simpler. It should be set to classes that extend KryoRegistrator. See the tuning guide for more details."
spark.kryo.unsafe,false,Whether to use unsafe based Kryo serializer. Can be substantially faster by using Unsafe Based IO.
spark.kryoserializer.buffer.max,64m,"Maximum allowable size of Kryo serialization buffer, in MiB unless otherwise specified. This must be larger than any object you attempt to serialize and must be less than 2048m. Increase this if you get a ""buffer limit exceeded"" exception inside Kryo."
spark.kryoserializer.buffer,64k,"Initial size of Kryo's serialization buffer, in KiB unless otherwise specified. Note that there will be one buffer per core on each worker. This buffer will grow up to spark.kryoserializer.buffer.max if needed."
spark.rdd.compress,false,Whether to compress serialized RDD partitions (e.g. for StorageLevel.MEMORY_ONLY_SER in Java and Scala or StorageLevel.MEMORY_ONLY in Python). Can save substantial space at the cost of some extra CPU time. Compression will use spark.io.compression.codec.
spark.serializer,"org.apache.spark.serializer.
JavaSerializer","Class to use for serializing objects that will be sent over the network or need to be cached in serialized form. The default of Java serialization works with any Serializable Java object but is quite slow, so we recommend using org.apache.spark.serializer.KryoSerializer and configuring Kryo serialization when speed is necessary. Can be any subclass of org.apache.spark.Serializer."
spark.serializer.objectStreamReset,100,"When serializing using org.apache.spark.serializer.JavaSerializer, the serializer caches objects to prevent writing redundant data, however that stops garbage collection of those objects. By calling 'reset' you flush that info from the serializer, and allow old objects to be collected. To turn off this periodic reset set it to -1. By default it will reset the serializer every 100 objects."
spark.memory.fraction,0.6,"Fraction of (heap space - 300MB) used for execution and storage. The lower this is, the more frequently spills and cached data eviction occur. The purpose of this config is to set aside memory for internal metadata, user data structures, and imprecise size estimation in the case of sparse, unusually large records. Leaving this at the default value is recommended. For more detail, including important information about correctly tuning JVM garbage collection when increasing this value, see this description."
spark.memory.storageFraction,0.5,"Amount of storage memory immune to eviction, expressed as a fraction of the size of the region set aside by spark.memory.fraction. The higher this is, the less working memory may be available to execution and tasks may spill to disk more often. Leaving this at the default value is recommended. For more detail, see this description."
spark.memory.offHeap.enabled,false,"If true, Spark will attempt to use off-heap memory for certain operations. If off-heap memory use is enabled, then spark.memory.offHeap.size must be positive."
spark.memory.offHeap.size,0,"The absolute amount of memory in bytes which can be used for off-heap allocation. This setting has no impact on heap memory usage, so if your executors' total memory consumption must fit within some hard limit then be sure to shrink your JVM heap size accordingly. This must be set to a positive value when spark.memory.offHeap.enabled=true."
spark.memory.useLegacyMode,false,"Whether to enable the legacy memory management mode used in Spark 1.5 and before. The legacy mode rigidly partitions the heap space into fixed-size regions, potentially leading to excessive spilling if the application was not tuned. The following deprecated memory fraction configurations are not read unless this is enabled: spark.shuffle.memoryFraction
 spark.storage.memoryFraction
 spark.storage.unrollFraction"
spark.shuffle.memoryFraction,0.2,"(deprecated) This is read only if spark.memory.useLegacyMode is enabled. Fraction of Java heap to use for aggregation and cogroups during shuffles. At any given time, the collective size of all in-memory maps used for shuffles is bounded by this limit, beyond which the contents will begin to spill to disk. If spills are often, consider increasing this value at the expense of spark.storage.memoryFraction."
spark.storage.memoryFraction,0.6,"(deprecated) This is read only if spark.memory.useLegacyMode is enabled. Fraction of Java heap to use for Spark's memory cache. This should not be larger than the ""old"" generation of objects in the JVM, which by default is given 0.6 of the heap, but you can increase it if you configure your own old generation size."
spark.storage.unrollFraction,0.2,(deprecated) This is read only if spark.memory.useLegacyMode is enabled. Fraction of spark.storage.memoryFraction to use for unrolling blocks in memory. This is dynamically allocated by dropping existing blocks when there is not enough free storage space to unroll the new block in its entirety.
spark.storage.replication.proactive,false,Enables proactive block replication for RDD blocks. Cached RDD block replicas lost due to executor failures are replenished if there are any existing available replicas. This tries to get the replication level of the block to the initial number.
spark.cleaner.periodicGC.interval,30min,"Controls how often to trigger a garbage collection.

 This context cleaner triggers cleanups only when weak references are garbage collected. In long-running applications with large driver JVMs, where there is little memory pressure on the driver, this may happen very occasionally or not at all. Not cleaning at all may lead to executors running out of disk space after a while."
spark.cleaner.referenceTracking,true,Enables or disables context cleaning.
spark.cleaner.referenceTracking.blocking,true,"Controls whether the cleaning thread should block on cleanup tasks (other than shuffle, which is controlled by spark.cleaner.referenceTracking.blocking.shuffle Spark property)."
spark.cleaner.referenceTracking.blocking.shuffle,false,Controls whether the cleaning thread should block on shuffle cleanup tasks.
spark.cleaner.referenceTracking.cleanCheckpoints,false,Controls whether to clean checkpoint files if the reference is out of scope.
spark.broadcast.blockSize,4m,"Size of each piece of a block for TorrentBroadcastFactory, in KiB unless otherwise specified. Too large a value decreases parallelism during broadcast (makes it slower); however, if it is too small, BlockManager might take a performance hit."
spark.broadcast.checksum,true,"Whether to enable checksum for broadcast. If enabled, broadcasts will include a checksum, which can help detect corrupted blocks, at the cost of computing and sending a little more data. It's possible to disable it if the network has other mechanisms to guarantee data won't be corrupted during broadcast."
spark.executor.cores,1,"The number of cores to use on each executor. In standalone and Mesos coarse-grained modes, for more detail, see this description. Default is 1 in YARN mode, all the available cores on the worker in standalone and Mesos coarse-grained modes."
spark.default.parallelism,(none),"For distributed shuffle operations like reduceByKey and join, the largest number of partitions in a parent RDD. For operations like parallelize with no parent RDDs, it depends on the cluster manager:
Local mode: number of cores on the local machine 
Mesos fine grained mode: 8 
Others: total number of cores on all executor nodes or 2, whichever is larger","Default number of partitions in RDDs returned by transformations like join, reduceByKey, and parallelize when not set by user."
spark.executor.heartbeatInterval,10s,Interval between each executor's heartbeats to the driver. Heartbeats let the driver know that the executor is still alive and update it with metrics for in-progress tasks. spark.executor.heartbeatInterval should be significantly less than spark.network.timeout
spark.files.fetchTimeout,60s,Communication timeout to use when fetching files added through SparkContext.addFile() from the driver.
spark.files.useFetchCache,true,"If set to true (default), file fetching will use a local cache that is shared by executors that belong to the same application, which can improve task launching performance when running many executors on the same host. If set to false, these caching optimizations will be disabled and all executors will fetch their own copies of files. This optimization may be disabled in order to use Spark local directories that reside on NFS filesystems (see SPARK-6313 for more details)."
spark.files.overwrite,false,Whether to overwrite files added through SparkContext.addFile() when the target file exists and its contents do not match those of the source.
spark.files.maxPartitionBytes,134217728 (128 MB),The maximum number of bytes to pack into a single partition when reading files.
spark.files.openCostInBytes,4194304 (4 MB),"The estimated cost to open a file, measured by the number of bytes could be scanned at the same time. This is used when putting multiple files into a partition. It is better to overestimate, then the partitions with small files will be faster than partitions with bigger files."
spark.hadoop.cloneConf,false,"If set to true, clones a new Hadoop Configuration object for each task. This option should be enabled to work around Configuration thread-safety issues (see SPARK-2546 for more details). This is disabled by default in order to avoid unexpected performance regressions for jobs that are not affected by these issues."
spark.hadoop.validateOutputSpecs,true,"If set to true, validates the output specification (e.g. checking if the output directory already exists) used in saveAsHadoopFile and other variants. This can be disabled to silence exceptions due to pre-existing output directories. We recommend that users do not disable this except if trying to achieve compatibility with previous versions of Spark. Simply use Hadoop's FileSystem API to delete output directories by hand. This setting is ignored for jobs generated through Spark Streaming's StreamingContext, since data may need to be rewritten to pre-existing output directories during checkpoint recovery."
spark.storage.memoryMapThreshold,2m,"Size in bytes of a block above which Spark memory maps when reading a block from disk. This prevents Spark from memory mapping very small blocks. In general, memory mapping has high overhead for blocks close to or below the page size of the operating system."
spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,1,"The file output committer algorithm version, valid algorithm version number: 1 or 2. Version 2 may have better performance, but version 1 may handle failures better in certain situations, as per MAPREDUCE-4815."
spark.rpc.message.maxSize,128,"Maximum message size (in MB) to allow in ""control plane"" communication; generally only applies to map output size information sent between executors and the driver. Increase this if you are running jobs with many thousands of map and reduce tasks and see messages about the RPC message size."
spark.blockManager.port,(random),Port for all block managers to listen on. These exist on both the driver and the executors.
spark.driver.blockManager.port,(value of spark.blockManager.port),"Driver-specific port for the block manager to listen on, for cases where it cannot use the same configuration as executors."
spark.driver.bindAddress,(value of spark.driver.host),"Hostname or IP address where to bind listening sockets. This config overrides the SPARK_LOCAL_IP environment variable (see below). 
It also allows a different address from the local one to be advertised to executors or external systems. This is useful, for example, when running containers with bridged networking. For this to properly work, the different ports used by the driver (RPC, block manager and UI) need to be forwarded from the container's host."
spark.driver.host,(local hostname),Hostname or IP address for the driver. This is used for communicating with the executors and the standalone Master.
spark.driver.port,(random),Port for the driver to listen on. This is used for communicating with the executors and the standalone Master.
spark.network.timeout,120s,"Default timeout for all network interactions. This config will be used in place of spark.core.connection.ack.wait.timeout, spark.storage.blockManagerSlaveTimeoutMs, spark.shuffle.io.connectionTimeout, spark.rpc.askTimeout or spark.rpc.lookupTimeout if they are not configured."
spark.port.maxRetries,16,"Maximum number of retries when binding to a port before giving up. When a port is given a specific value (non 0), each subsequent retry will increment the port used in the previous attempt by 1 before retrying. This essentially allows it to try a range of ports from the start port specified to port + maxRetries."
spark.rpc.numRetries,3,Number of times to retry before an RPC task gives up. An RPC task will run at most times of this number.
spark.rpc.retry.wait,3s,Duration for an RPC ask operation to wait before retrying.
spark.rpc.askTimeout,spark.network.timeout,Duration for an RPC ask operation to wait before timing out.
spark.rpc.lookupTimeout,120s,Duration for an RPC remote endpoint lookup operation to wait before timing out.
spark.core.connection.ack.wait.timeout,spark.network.timeout,"How long for the connection to wait for ack to occur before timing out and giving up. To avoid unwilling timeout caused by long pause like GC, you can set larger value."
spark.cores.max,(not set),"When running on a standalone deploy cluster or a Mesos cluster in ""coarse-grained"" sharing mode, the maximum amount of CPU cores to request for the application from across the cluster (not from each machine). If not set, the default will be spark.deploy.defaultCores on Spark's standalone cluster manager, or infinite (all available cores) on Mesos."
spark.locality.wait,3s,"How long to wait to launch a data-local task before giving up and launching it on a less-local node. The same wait will be used to step through multiple locality levels (process-local, node-local, rack-local and then any). It is also possible to customize the waiting time for each level by setting spark.locality.wait.node, etc. You should increase this setting if your tasks are long and see poor locality, but the default usually works well."
spark.locality.wait.node,spark.locality.wait,"Customize the locality wait for node locality. For example, you can set this to 0 to skip node locality and search immediately for rack locality (if your cluster has rack information)."
